event_id,issuer,ticker,event_category,sector,event_timestamp_et,release_session,primary_source_reference,timestamp_source_reference,event_fact_summary,materiality_reason,entry_rule,entry_timestamp_et,timestamp_verification_status,accepted_primary_sample,exclusion_reason,outcome_fields_present
E1-REGN-20230323,Regeneron Pharmaceuticals,REGN,E1_Clinical_Regulatory,Health Care,2023-03-23 02:00:00 EDT,PREMARKET,https://investor.regeneron.com/news-releases/news-release-details/dupixentr-dupilumab-demonstrates-potential-become-first-biologic,https://investor.regeneron.com/news-releases/news-release-details/dupixentr-dupilumab-demonstrates-potential-become-first-biologic,"BOREAS Phase 3 Dupixent COPD trial met the primary endpoint and all key secondary endpoints, including lower exacerbations and improved lung function.","Pivotal Phase 3 readout opened a large new respiratory indication with direct regulatory and commercial implications.",PREMARKET_1000_ET,2023-03-23 10:00:00 EDT,VERIFIED_PRIMARY_WITH_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E1-LLY-20220428,Eli Lilly and Company,LLY,E1_Clinical_Regulatory,Health Care,2022-04-28 06:15:00 EDT,PREMARKET,https://investor.lilly.com/news-releases/news-release-details/lillys-tirzepatide-delivered-225-weight-loss-adults-obesity-or,https://www.prnewswire.com/news-releases/lillys-tirzepatide-delivered-up-to-22-5-weight-loss-in-adults-with-obesity-or-overweight-in-surmount-1--301534871.html,"SURMOUNT-1 Phase 3 tirzepatide study met both co-primary and all key secondary endpoints, with up to 22.5% average weight loss at 72 weeks.","Pivotal obesity readout materially changed the expected commercial opportunity for a major pipeline asset.",PREMARKET_1000_ET,2022-04-28 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E1-PFE-20221101,Pfizer,PFE,E1_Clinical_Regulatory,Health Care,2022-11-01 06:30:00 EDT,PREMARKET,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-announces-positive-top-line-data-phase-3-global,https://www.pfizer.com/news/press-release/press-release-detail/pfizer-announces-positive-top-line-data-phase-3-global,"MATISSE Phase 3 maternal RSV vaccine study reported high efficacy against severe medically attended RSV lower respiratory tract illness in infants and supported planned regulatory submissions.","Pivotal vaccine data had direct regulatory and large-market commercialization implications.",PREMARKET_1000_ET,2022-11-01 10:00:00 EDT,VERIFIED_PRIMARY_WITH_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E1-VRTX-20240130,Vertex Pharmaceuticals,VRTX,E1_Clinical_Regulatory,Health Care,2024-01-30 06:28:00 EST,PREMARKET,https://news.vrtx.com/news-releases/news-release-details/vertex-announces-positive-results-vx-548-phase-3-program,https://www.globenewswire.com/search/vertex-vx-548-january-30-2024,"VX-548 Phase 3 acute-pain program met the primary endpoint versus placebo in both pivotal trials but did not achieve superiority to hydrocodone/acetaminophen on a key secondary endpoint; Vertex planned an NDA.","Mixed but pivotal Phase 3 evidence required interpretation of efficacy, comparator performance and regulatory path rather than a one-number headline.",PREMARKET_1000_ET,2024-01-30 10:00:00 EST,VERIFIED_PRIMARY_PLUS_WIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-NFLX-20220419,Netflix,NFLX,E2_Earnings_Guidance_Reset,Communication Services,2022-04-19 16:00:00 EDT,AFTER_HOURS,https://ir.netflix.net/investor-news-and-events/financial-releases/press-release-details/2022/Netflix-Releases-First-Quarter-2022-Financial-Results/default.aspx,https://www.prnewswire.com/news-releases/netflix-releases-first-quarter-2022-financial-results-301528338.html,"Netflix reported its first net subscriber decline in a decade and projected additional subscriber losses while discussing monetization changes including advertising and paid sharing.","The release reset the market's long-duration subscriber-growth and business-model assumptions.",AFTER_HOURS_NEXT_TRADING_DAY_1000_ET,2022-04-20 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-NKE-20220929,NIKE,NKE,E2_Earnings_Guidance_Reset,Consumer Discretionary,2022-09-29 16:15:00 EDT,AFTER_HOURS,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/2022/NIKE-Inc.-Reports-Fiscal-2023-First-Quarter-Results/default.aspx,https://www.nasdaq.com/press-release/nike-inc-reports-fiscal-2023-first-quarter-results-2022-09-29,"NIKE reported fiscal Q1 2023 results with inventories up sharply year over year and gross margin pressure from markdowns, freight and foreign exchange.","Inventory normalization and margin compression materially reset near-term earnings quality and forward profitability expectations.",AFTER_HOURS_NEXT_TRADING_DAY_1000_ET,2022-09-30 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_WIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-TGT-20220518,Target,TGT,E2_Earnings_Guidance_Reset,Consumer Staples,2022-05-18 06:30:00 EDT,PREMARKET,https://corporate.target.com/press/release/2022/05/target-corporation-reports-first-quarter-earnings,https://www.prnewswire.com/search/news/?keyword=Target%20May%2018%202022%20earnings,"Target reported Q1 2022 operating margin far below prior expectations as freight, inventory mix and markdown pressures surged, while resetting its full-year margin outlook.","A sudden margin and inventory economics reset for a large retailer materially changed near-term earnings expectations.",PREMARKET_1000_ET,2022-05-18 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_WIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-DG-20230831,Dollar General,DG,E2_Earnings_Guidance_Reset,Consumer Staples,2023-08-31 06:55:00 EDT,PREMARKET,https://investor.dollargeneral.com/news-detail/dollar-general-corporation-reports-second-quarter-2023-results/ec5a2e95-ebd2-4022-8c97-dc5f0896c38b,https://www.prnewswire.com/search/news/?keyword=Dollar%20General%20August%2031%202023,"Dollar General materially reduced full-year sales, same-store-sales and EPS expectations after weaker operating results and increased shrink and inventory pressures.","The size and breadth of the guidance reset changed forward earnings and store-economics expectations.",PREMARKET_1000_ET,2023-08-31 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_WIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-ENPH-20231026,Enphase Energy,ENPH,E2_Earnings_Guidance_Reset,Information Technology,2023-10-26 16:05:00 EDT,AFTER_HOURS,https://investor.enphase.com/news-releases/news-release-details/enphase-energy-reports-financial-results-third-quarter-2023,https://www.globenewswire.com/news-release/2023/10/26/2767977/0/en/enphase-energy-reports-financial-results-for-the-third-quarter-of-2023.html,"Enphase reported Q3 2023 revenue well below the prior quarter and guided Q4 revenue to $300-$350 million amid channel inventory and weaker U.S. and European demand.","The release represented a major demand and channel-inventory reset for a high-growth solar equipment business.",AFTER_HOURS_NEXT_TRADING_DAY_1000_ET,2023-10-27 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_GLOBENEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
E2-ALB-20231101,Albemarle,ALB,E2_Earnings_Guidance_Reset,Materials,2023-11-01 16:15:00 EDT,AFTER_HOURS,https://investors.albemarle.com/news-and-events/news/news-details/2023/Albemarle-Reports-Net-Sales-Increase-of-10-for-Third-Quarter-2023/default.aspx,https://www.prnewswire.com/search/news/?keyword=Albemarle%20November%201%202023,"Albemarle reported Q3 2023 results and materially reduced full-year revenue and adjusted EBITDA expectations as lithium market pricing weakened.","The guidance cut translated a commodity-price regime shift directly into forward earnings and cash-flow expectations.",AFTER_HOURS_NEXT_TRADING_DAY_1000_ET,2023-11-02 10:00:00 EDT,VERIFIED_PRIMARY_PLUS_PRNEWSWIRE_TIME,PENDING_QC_LIQUIDITY_AND_DUPLICATE_AUDIT,,false
